avatarfull,competitive_rank,is_contributor,last_login,leaderboard_rank,loccountrycode,mmr_estimate,name,personaname,profileurl,solo_competitive_rank,steam_id
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/28/28646dffbb0344f6be2ada7256989304ee25a0f0_full.jpg,,False,,259.0,,6180,,MinT,https://steamcommunity.com/profiles/76561198262691700/,6730.0,302425972
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/b1/b1dab40447556401d94be3690c6cf4d23c08a378_full.jpg,4480.0,False,,1128.0,CN,5625,,花无缺.,https://steamcommunity.com/profiles/76561198109379666/,5866.0,149113938
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1e/1ebd57e6f505eb7fc09e943a09a6e79fffabbbd2_full.jpg,,False,,119.0,CN,6706,TZY,Tzy丶,https://steamcommunity.com/id/misterdurst69/,7618.0,88470
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c5/c55a39e11c75d625a1ca593699280b5c50229d97_full.jpg,5748.0,False,,125.0,,6773,Jixing,咋回事,https://steamcommunity.com/id/92590479/,7765.0,92590479
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/23/23461ebbdd38b03e4ebf84775ef3b1f1320a1e0c_full.jpg,,False,,186.0,,6606,Kani,200斤死胖子,https://steamcommunity.com/profiles/76561198101331412/,6870.0,141065684
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/73/73c3dcacce1ce6258af9a75c81e7e23df4d6a5e7_full.jpg,5000.0,False,,993.0,US,5871,,百鬼夜行,https://steamcommunity.com/id/jinghun09/,6911.0,285100046
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/65/654ac4ad7beb01f926b0889685749f8647c7cf2c_full.jpg,3260.0,False,,766.0,,6136,,12121,https://steamcommunity.com/profiles/76561198353912787/,6248.0,393647059
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/da/da2e6c2c776a2333a08f8e8cd9a010b347fc1a2d_full.jpg,6057.0,False,,93.0,,7058,June,逍遥哥哥,https://steamcommunity.com/id/june123/,9091.0,138885864
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/73/73fbe610e959b06eb489b49a8cae0e62df5e28a5_full.jpg,,False,,38.0,FR,4513,,小雷达,https://steamcommunity.com/profiles/76561198141829253/,6069.0,181563525
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/41/415a28a5e3d4b9dd84f23a00b4a10bc823ee5950_full.jpg,4169.0,False,2018-04-15T13:57:24.289Z,291.0,CN,5933,,贾诩,https://steamcommunity.com/profiles/76561198275538351/,5719.0,315272623
